name,price,store,url
Vertex Impress Luck 3G Черный,2 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/vertex/smartfon_vertex_impress_luck_3g_chernyy_vrx_lck_blk2020-1397564.html
Xiaomi Redmi 9A 2/32GB Темно-серый,8 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_9a_2_32gb_temno_seryy_x29236-2243422.html
Xiaomi Redmi 9 4/64GB Серый,13 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_9_4_64gb_seryy_x28415-2216066.html
Xiaomi Redmi 9A 2/32GB Синий,8 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_9a_2_32gb_siniy_x29237-2243424.html
Xiaomi Redmi Note 10S 6/64GB (NFC) Серый,18 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_64gb_nfc_seryy_x33447-2685615.html
Xiaomi Redmi 9A 2/32GB Зеленый,8 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_9a_2_32gb_zelenyy_x29238-2245238.html
Xiaomi Redmi Note 10S 6/128GB (NFC) Синий,20 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_128gb_nfc_siniy_x33449-2685611.html
Xiaomi Redmi Note 10S 6/64GB (NFC) Синий,18 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_64gb_nfc_siniy_x33448-2685612.html
Samsung Galaxy A12 (2021) 32GB Черный,10 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_32gb_chernyy_sm_a127fzkuser-2750741.html
Samsung Galaxy A12 (2021) 64GB Черный,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_64gb_chernyy_sm_a127fzkvser-2774093.html
Xiaomi Redmi Note 10S 6/128GB (NFC) Серый,20 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_128gb_nfc_seryy_x33445-2685617.html
Xiaomi Redmi Note 10S 6/64GB (NFC) Белый,18 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_64gb_nfc_belyy_x33444-2685620.html
POCO X3 Pro 6/128GB Синий,21 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_x3_pro_6_128gb_siniy_x32488-2601361.html
Samsung Galaxy A32 128GB Фиолетовый,21 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a32_128gb_fioletovyy_sm_a325flvgser-2535367.html
POCO X3 Pro 6/128GB Бронзовый,21 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_x3_pro_6_128gb_bronzovyy_x32486-2607357.html
Samsung Galaxy A12 (2021) 64GB Синий,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_64gb_siniy_sm_a127fzbvser-2774096.html
Xiaomi Redmi Note 10 Pro 8/128GB Синий,28 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10_pro_8_128gb_siniy_x33192-2540365.html
Xiaomi Redmi Note 10S 6/128GB (NFC) Белый,20 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_128gb_nfc_belyy_x33446-2685619.html
Xiaomi Redmi 9C 4/128GB Серый,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_9c_4_128gb_seryy_x36160-2837342.html
Xiaomi Redmi Note 10 Pro 8/128GB Серый,27 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10_pro_8_128gb_seryy_x33193-2540366.html
POCO X3 Pro 8/256GB Бронзовый,24 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_x3_pro_8_256gb_bronzovyy_x32484-2607359.html
Samsung Galaxy A12 (2021) 32GB Синий,10 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_32gb_siniy_sm_a127fzbuser-2774095.html
POCO X3 Pro 8/256GB Синий,24 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_x3_pro_8_256gb_siniy_x32485-2601359.html
POCO X3 NFC 6/128GB Синий,20 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_x3_nfc_6_128gb_siniy_x29602-2318110.html
Samsung Galaxy A12 (2021) 32GB Красный,10 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_32gb_krasnyy_sm_a127fzruser-2774098.html
Samsung Galaxy A22 64Gb Черный,17 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a22_64gb_chernyy_sm_a225fzkdser-2700564.html
Samsung Galaxy A12 (2021) 64GB Красный,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_64gb_krasnyy_sm_a127fzrvser-2774099.html
Samsung Galaxy A32 128GB Черный,21 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a32_128gb_chernyy_sm_a325fzkgser-2519506.html
Xiaomi Redmi 9C 4/128GB Зеленый,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_9c_4_128gb_zelenyy_x36596-2911264.html
Samsung Galaxy M12 64Gb Черный,14 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_m12_64gb_chernyy_sm_m127fzkvser-2654592.html
Samsung Galaxy M32 128Gb Черный,22 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_m32_128gb_chernyy_sm_m325fzkgser-2700566.html
Nokia G20 4/128GB Dual Sim (TA-1336) Синий,13 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/nokia/smartfon_nokia_g20_4_128gb_dual_sim_ta_1336_siniy_719901148521-2643429.html
realme C25S 4/128GB серый,14 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/realme/smartfon_realme_c25s_4_128gb_seryy_rlm_3195.4_128.gr-2778550.html
Samsung Galaxy A12 64GB Синий,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_64gb_siniy_sm_a125fzbvser-2407375.html
Apple iPhone 13 128GB Синий,79 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_13_128gb_siniy_mlp13ru_a-2804220.html
POCO F3 8/256GB Белый,32 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_f3_8_256gb_belyy_x32200-2614217.html
realme C11 (2021) 2/32GB голубое озеро,7 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/realme/smartfon_realme_c11_2021_2_32gb_goluboe_ozero_rlm_3231.2_32.bl-2642326.html
Nokia G20 4/64GB Dual Sim (TA-1336) Синий,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/nokia/smartfon_nokia_g20_4_64gb_dual_sim_ta_1336_siniy_719901148511-2643428.html
Samsung Galaxy A22 128Gb Мятный,19 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a22_128gb_myatnyy_sm_a225flggser-2750743.html
POCO M4 Pro 5G 6/128GB Желтый,20 980 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_m4_pro_5g_6_128gb_zheltyy_x36489-2932627.html
Apple iPhone 11 128 GB Фиолетовый,54 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_11_128_gb_fioletovyy_mhdm3ru_a-2391125.html
Nokia C01 Plus Dual sim 16Gb (TA-1383) Синий,5 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/nokia/smartfon_nokia_c01_plus_dual_sim_16gb_ta_1383_siniy_719901161861-2768816.html
Samsung Galaxy M12 32Gb Черный,11 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_m12_32gb_chernyy_sm_m127fzkuser-2636316.html
realme C25S 4/128GB синий,14 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/realme/smartfon_realme_c25s_4_128gb_siniy_rlm_3195.4_128.bl-2781277.html
Apple iPhone 11 64 GB Зеленый,49 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_11_64_gb_zelenyy_mhdg3ru_a-2403698.html
Samsung Galaxy M32 128Gb Белый,22 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_m32_128gb_belyy_sm_m325fzwgser-2750778.html
Samsung Galaxy A12 (2021) 128GB Черный,15 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_128gb_chernyy_sm_a127fzkkser-2761245.html
realme C21Y 4/64GB черный,11 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/realme/smartfon_realme_c21y_4_64gb_chernyy_rlm_3261.4_64.bk-2778535.html
Xiaomi 11 Lite 5G NE 8/128Gb Зеленый,29 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11_lite_5g_ne_8_128gb_zelenyy_x36958-2906532.html
ZTE Blade A3 (2020) NFC Темно-серый,5 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/zte/smartfon_zte_blade_a3_2020_nfc_temno_seryy_zte_a3.nfc.2020.dg-2170706.html
Apple iPhone 13 128GB (PRODUCT) RED,79 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_13_128gb_product_red_mlp03ru_a-2804217.html
Apple iPhone 11 128 GB Чёрный,54 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_11_128_gb_chernyy_mhdh3ru_a-2367772.html
Apple iPhone 11 128 GB Зелёный,54 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_11_128_gb_zelenyy_mhdn3ru_a-2443665.html
POCO F3 8/256GB Черный,32 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_f3_8_256gb_chernyy_x32197-2614214.html
POCO M4 Pro 5G 6/128GB Черный,20 980 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_m4_pro_5g_6_128gb_chernyy_x36519-2932632.html
Apple iPhone 11 64 GB Черный,49 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_11_64_gb_chernyy_mhda3ru_a-2403697.html
Samsung Galaxy A52 128GB Синий,27 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a52_128gb_siniy_sm_a525fzbdser-2547952.html
Apple iPhone 13 128GB Розовый,79 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_13_128gb_rozovyy_mlny3ru_a-2804219.html
Infinix HOT 10 Lite 2/32GB Черный,7 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/infinix/smartfon_infinix_hot_10_lite_2_32gb_chernyy_4895180760082-2902086.html
Apple iPhone SE (2020) 64 GB Черный,39 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_se_2020_64_gb_chernyy_mhgp3ru_a-2371933.html
Samsung Galaxy A02 32GB Красный,8 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a02_32gb_krasnyy_sm_a022gzrbser-2499142.html
Samsung Galaxy A32 64GB Фиолетовый,19 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a32_64gb_fioletovyy_sm_a325flvdser-2535365.html
BQ 6022G Aura Красный,5 290 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/bq/smartfon_bq_6022g_aura_krasnyy_4630055241873-2691112.html
Nokia C01 Plus Dual sim 16Gb (TA-1383) Фиолетовый,5 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/nokia/smartfon_nokia_c01_plus_dual_sim_16gb_ta_1383_fioletovyy_719901161871-2768879.html
Apple iPhone 13 256GB (PRODUCT) RED,89 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_13_256gb_product_red_mlp63ru_a-2804223.html
Apple iPhone 13 Pro 128GB Графитовый,104 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_13_pro_128gb_grafitovyy_mlw13ru_a-2804240.html
Samsung Galaxy M52 128Gb Черный,31 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_m52_128gb_chernyy_sm_m526bzkhser-2841550.html
POCO M4 Pro 5G 6/128GB Синий,20 980 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_m4_pro_5g_6_128gb_siniy_x36511-2932631.html
POCO M3 Pro 6/128GB Желтый,19 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_m3_pro_6_128gb_zheltyy_x34428-2943135.html
realme 8 6/128GB черный,19 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/realme/smartfon_realme_8_6_128gb_chernyy_rlm_3085.6_128.bk-2642325.html
realme 8 6/128GB серебристый,19 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/realme/smartfon_realme_8_6_128gb_serebristyy_rlm_3085.6_128.si-2652570.html
Samsung Galaxy M12 64Gb Зеленый,14 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_m12_64gb_zelenyy_sm_m127fzgvser-2654590.html
Samsung Galaxy A12 (2021) 128GB Синий,15 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_128gb_siniy_sm_a127fzbkser-2761247.html
Samsung Galaxy A12 (2021) 128GB Красный,15 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_128gb_krasnyy_sm_a127fzrkser-2774097.html
Xiaomi 11 Lite 5G NE 8/256Gb Черный,34 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11_lite_5g_ne_8_256gb_chernyy_x35717-2911263.html
Samsung Galaxy A03 Core 32GB Синий,8 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a03_core_32gb_siniy_sm_a032fzbdser-2928662.html
realme C11 (2021) 2/32GB перечный серый,8 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/realme/smartfon_realme_c11_2021_2_32gb_perechnyy_seryy_rlm_3231.2_32.gr-2252874.html
Apple iPhone 12 128GB (PRODUCT)RED,69 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_12_128gb_product_red_mgjd3ru_a-2328469.html
Apple iPhone 12 128GB Чёрный,69 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_12_128gb_chernyy_mgja3ru_a-2328478.html
Apple iPhone 11 64GB (PRODUCT)RED,49 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_11_64gb_product_red_mhdd3ru_a-2386791.html
Samsung Galaxy S21 5G 256GB Фиолетовый Фантом,59 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_s21_5g_256gb_fioletovyy_fantom_sm_g991bzvgser-2444876.html
Samsung Galaxy A52 128GB Фиолетовый,27 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a52_128gb_fioletovyy_sm_a525flvdser-2547954.html
ZTE Blade A71 3/64GB Синий,9 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/zte/smartfon_zte_blade_a71_3_64gb_siniy_zte_blade.a71.bl-2666312.html
Samsung Galaxy A22 128Gb Белый,19 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a22_128gb_belyy_sm_a225fzwgser-2703099.html
VIVO Y31 4/64GB Голубой океан,14 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/vivo/smartfon_vivo_y31_4_64gb_goluboy_okean_y31_ocean_blue_v2036_464-2821378.html
Xiaomi 11T 8/256Gb Серый,44 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11t_8_256gb_seryy_x35014-2847170.html
Xiaomi 11T 8/128Gb Серый,39 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11t_8_128gb_seryy_x35025-2860951.html
Infinix HOT 11S NFC 6/128GB Черный,15 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/infinix/smartfon_infinix_hot_11s_nfc_6_128gb_chernyy_4895180776090-2902090.html
ZTE Blade L210 Синий,5 290 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/zte/smartfon_zte_blade_l210_siniy_zte_blade.l210.bl-2373117.html
Samsung Galaxy S21 5G 256GB Серый Фантом,59 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_s21_5g_256gb_seryy_fantom_sm_g991bzagser-2444875.html
VIVO Y31 4/128GB Голубой океан,16 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/vivo/smartfon_vivo_y31_4_128gb_goluboy_okean_y31_ocean_blue_vivo_v2036-2505617.html
